step	generator	AUROC	TPR_at_1pct_FPR
1	deepseek-r1-distill-qwen-32b	0.2805	0.0000
1	falcon3-10b-instruct	0.3570	0.0088
1	gemini-1.5-pro	0.3709	0.0000
1	gemini-2.0-flash	0.2720	0.0000
1	gemini-pro	0.3453	0.0000
1	gemini-pro-paraphrase	0.2916	0.0000
1	gpt-3.5-turbo	0.3571	0.0050
1	gpt-4-turbo	0.2368	0.0000
1	gpt-4-turbo-paraphrase	0.2468	0.0000
1	gpt-4.5-preview	0.5575	0.0667
1	gpt-4o	0.3554	0.0000
1	gpt-4o-mini	0.3077	0.0000
1	llama-2-70b-chat	0.4459	0.0000
1	llama-2-7b-chat	0.3627	0.0000
1	llama-3.1-8b-instruct	0.3680	0.0000
1	llama-3.3-70b-instruct	0.3066	0.0000
1	ministral-8b-instruct-2410	0.3903	0.0000
1	mistral-7b-instruct-v0.2	0.4420	0.0000
1	mixtral-8x7b-instruct-v0.1	0.3680	0.0000
1	o3-mini	0.2241	0.0000
1	qwen1.5-72b-chat-8bit	0.2817	0.0000
1	text-bison-002	0.3249	0.0000
1	MACRO_AVG	0.3406	0.0037
1	GLOBAL_TPR_AT_1FPR	-	0.0026
5	deepseek-r1-distill-qwen-32b	0.6324	0.0472
5	falcon3-10b-instruct	0.6363	0.0177
5	gemini-1.5-pro	0.4994	0.0069
5	gemini-2.0-flash	0.5410	0.0000
5	gemini-pro	0.2953	0.0000
5	gemini-pro-paraphrase	0.2441	0.0000
5	gpt-3.5-turbo	0.4400	0.0050
5	gpt-4-turbo	0.3628	0.0000
5	gpt-4-turbo-paraphrase	0.2264	0.0000
5	gpt-4.5-preview	0.7121	0.0667
5	gpt-4o	0.5546	0.0144
5	gpt-4o-mini	0.5371	0.0047
5	llama-2-70b-chat	0.4331	0.0000
5	llama-2-7b-chat	0.2885	0.0000
5	llama-3.1-8b-instruct	0.5502	0.0063
5	llama-3.3-70b-instruct	0.6307	0.0185
5	ministral-8b-instruct-2410	0.6486	0.0216
5	mistral-7b-instruct-v0.2	0.4196	0.0000
